Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Example,Chrome 62.0.3202.94,,2017-12-06 11:32:54,2017-12-06 11:33:15,"20,517s",PASSED
,,,,,,
Test Cases/Authorization,Chrome 62.0.3202.94,,2017-12-06 11:32:55,2017-12-06 11:33:03,"8,283s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-06 11:32:55,2017-12-06 11:33:02,"7,537s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-06 11:33:02,2017-12-06 11:33:03,"0,108s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:03,"0,182s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:03,"0,117s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:03,"0,079s",PASSED
,,,,,,
Test Cases/Create table,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:14,"11,283s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:03,"0,089s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-06 11:33:03,2017-12-06 11:33:08,"5,099s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 11:33:08,2017-12-06 11:33:09,"0,254s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 11:33:09,2017-12-06 11:33:10,"1,138s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-06 11:33:10,2017-12-06 11:33:14,"4,247s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-06 11:33:14,2017-12-06 11:33:14,"0,215s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 11:33:14,2017-12-06 11:33:14,"0,094s",PASSED
