Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 65.0.3325.146,,2018-03-14 14:40:27,2018-03-14 14:40:48,"21,524s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 65.0.3325.146,,2018-03-14 14:40:27,2018-03-14 14:40:34,"7,237s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-14 14:40:27,2018-03-14 14:40:32,"5,339s",PASSED
maximizeWindow,Chrome 65.0.3325.146,,2018-03-14 14:40:32,2018-03-14 14:40:34,"1,408s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:34,"0,035s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:34,"0,113s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:34,"0,094s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:34,"0,071s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:47,"13,374s",FAILED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:34,2018-03-14 14:40:39,"4,942s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:39,2018-03-14 14:40:39,"0,379s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:39,2018-03-14 14:40:40,"1,088s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:40,2018-03-14 14:40:45,"4,825s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:45,2018-03-14 14:40:46,"0,188s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,017s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,080s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,080s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,058s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,211s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,089s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,091s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,072s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,089s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,115s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:46,"0,078s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:46,2018-03-14 14:40:47,"0,077s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,070s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,073s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,113s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,048s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,092s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,046s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:47,2018-03-14 14:40:47,"0,351s",FAILED
