Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-19 14:50:28,2018-02-19 14:51:21,"53,089s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 14:50:28,2018-02-19 14:50:35,"6,988s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 14:50:28,2018-02-19 14:50:33,"5,064s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 14:50:33,2018-02-19 14:50:34,"1,397s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 14:50:34,2018-02-19 14:50:35,"0,037s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:50:35,"0,095s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:50:35,"0,101s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:50:35,"0,105s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:51:20,"45,184s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:50:35,"0,032s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 14:50:35,2018-02-19 14:50:41,"6,039s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:41,2018-02-19 14:50:41,"0,255s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:41,2018-02-19 14:50:42,"1,191s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 14:50:42,2018-02-19 14:50:49,"6,253s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 14:50:49,2018-02-19 14:50:49,"0,194s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 14:50:49,2018-02-19 14:50:49,"0,018s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:49,2018-02-19 14:50:49,"0,082s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:49,2018-02-19 14:50:49,"0,056s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 14:50:49,2018-02-19 14:51:20,"30,938s",FAILED
