Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-19 12:22:58,2018-02-19 12:23:18,"20,866s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 12:22:58,2018-02-19 12:23:05,"7,124s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 12:22:58,2018-02-19 12:23:03,"4,992s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 12:23:03,2018-02-19 12:23:04,"1,463s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 12:23:04,2018-02-19 12:23:04,"0,036s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 12:23:04,2018-02-19 12:23:05,"0,138s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 12:23:05,2018-02-19 12:23:05,"0,108s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:05,2018-02-19 12:23:05,"0,207s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-19 12:23:05,2018-02-19 12:23:18,"12,816s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 12:23:05,2018-02-19 12:23:05,"0,031s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 12:23:05,2018-02-19 12:23:10,"4,976s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:10,2018-02-19 12:23:10,"0,274s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:10,2018-02-19 12:23:12,"1,330s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 12:23:12,2018-02-19 12:23:17,"5,313s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 12:23:17,2018-02-19 12:23:17,"0,202s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 12:23:17,2018-02-19 12:23:17,"0,018s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:17,2018-02-19 12:23:17,"0,083s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:17,2018-02-19 12:23:17,"0,058s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 12:23:17,2018-02-19 12:23:18,"0,359s",FAILED
