Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create Folder,Chrome 66.0.3359.117,,2018-04-20 10:51:58,2018-04-20 10:52:15,"16,656s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 66.0.3359.117,,2018-04-20 10:51:59,2018-04-20 10:52:06,"6,990s",PASSED
openBrowser,Chrome 66.0.3359.117,,2018-04-20 10:51:59,2018-04-20 10:52:04,"5,056s",PASSED
maximizeWindow,Chrome 66.0.3359.117,,2018-04-20 10:52:04,2018-04-20 10:52:05,"1,394s",PASSED
waitForElementPresent,Chrome 66.0.3359.117,,2018-04-20 10:52:05,2018-04-20 10:52:05,"0,042s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-20 10:52:05,2018-04-20 10:52:05,"0,108s",PASSED
setText,Chrome 66.0.3359.117,,2018-04-20 10:52:05,2018-04-20 10:52:05,"0,102s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 10:52:05,2018-04-20 10:52:06,"0,067s",PASSED
,,,,,,
Test Cases/Create_new_folder,Chrome 66.0.3359.117,,2018-04-20 10:52:06,2018-04-20 10:52:14,"8,768s",PASSED
waitForElementPresent,Chrome 66.0.3359.117,,2018-04-20 10:52:06,2018-04-20 10:52:11,"5,675s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 10:52:11,2018-04-20 10:52:12,"0,464s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 10:52:12,2018-04-20 10:52:13,"1,093s",PASSED
click,Chrome 66.0.3359.117,,2018-04-20 10:52:13,2018-04-20 10:52:14,"1,405s",PASSED
