Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new user,Chrome 63.0.3239.132,,2018-02-06 13:02:19,2018-02-06 13:02:37,"17,608s",PASSED
,,,,,,
Test Cases/Authorization,Chrome 63.0.3239.132,,2018-02-06 13:02:20,2018-02-06 13:02:30,"10,025s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-06 13:02:20,2018-02-06 13:02:28,"8,116s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-06 13:02:28,2018-02-06 13:02:29,"1,394s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 13:02:29,2018-02-06 13:02:29,"0,035s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:29,2018-02-06 13:02:29,"0,099s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:29,2018-02-06 13:02:30,"0,109s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 13:02:30,2018-02-06 13:02:30,"0,096s",PASSED
,,,,,,
Test Cases/Create user,Chrome 63.0.3239.132,Creation new user to test system,2018-02-06 13:02:30,2018-02-06 13:02:36,"6,708s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-06 13:02:30,2018-02-06 13:02:30,"0,031s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 13:02:30,2018-02-06 13:02:30,"0,538s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 13:02:30,2018-02-06 13:02:30,"0,078s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 13:02:30,2018-02-06 13:02:32,"1,826s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 13:02:32,2018-02-06 13:02:33,"0,479s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:33,2018-02-06 13:02:34,"0,932s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:34,2018-02-06 13:02:34,"0,348s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:34,2018-02-06 13:02:34,"0,431s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:34,2018-02-06 13:02:35,"0,727s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:35,2018-02-06 13:02:36,"0,410s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:36,2018-02-06 13:02:36,"0,317s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:36,2018-02-06 13:02:36,"0,239s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 13:02:36,2018-02-06 13:02:36,"0,235s",PASSED
