Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add user role,Chrome 63.0.3239.132,,2018-02-09 10:13:17,2018-02-09 10:13:28,"11,663s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-09 10:13:17,2018-02-09 10:13:25,"7,692s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-09 10:13:17,2018-02-09 10:13:23,"5,678s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-09 10:13:23,2018-02-09 10:13:24,"1,400s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 10:13:24,2018-02-09 10:13:24,"0,037s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 10:13:24,2018-02-09 10:13:24,"0,109s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 10:13:24,2018-02-09 10:13:25,"0,105s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:25,"0,090s",PASSED
,,,,,,
Test Cases/Add_User_Role,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:28,"3,041s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:25,"0,028s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:25,"0,533s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:25,"0,071s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 10:13:25,2018-02-09 10:13:27,"1,773s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 10:13:27,2018-02-09 10:13:27,"0,153s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 10:13:27,2018-02-09 10:13:27,"0,081s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 10:13:27,2018-02-09 10:13:28,"0,172s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 10:13:28,2018-02-09 10:13:28,"0,061s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 10:13:28,2018-02-09 10:13:28,"0,073s",PASSED
