Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-21 13:46:33,2018-02-21 13:47:26,"52,280s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-21 13:46:34,2018-02-21 13:46:41,"7,622s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-21 13:46:34,2018-02-21 13:46:40,"5,610s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-21 13:46:40,2018-02-21 13:46:41,"1,393s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:46:41,"0,036s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:46:41,"0,126s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:46:41,"0,100s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:46:41,"0,096s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:47:25,"43,755s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-21 13:46:41,2018-02-21 13:46:42,"0,053s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 13:46:42,2018-02-21 13:46:47,"5,072s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:47,2018-02-21 13:46:47,"0,306s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 13:46:47,2018-02-21 13:46:53,"6,504s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 13:46:53,2018-02-21 13:46:54,"0,188s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,018s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,090s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,087s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,058s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,218s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:46:54,"0,079s",PASSED
scrollToElement,Chrome 63.0.3239.132,,2018-02-21 13:46:54,2018-02-21 13:47:25,"30,930s",FAILED
