Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 65.0.3325.162,,2018-03-15 08:31:39,2018-03-15 08:32:05,"25,589s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 65.0.3325.162,,2018-03-15 08:31:39,2018-03-15 08:31:46,"6,437s",PASSED
openBrowser,Chrome 65.0.3325.162,,2018-03-15 08:31:39,2018-03-15 08:31:44,"4,516s",PASSED
maximizeWindow,Chrome 65.0.3325.162,,2018-03-15 08:31:44,2018-03-15 08:31:45,"1,442s",PASSED
waitForElementPresent,Chrome 65.0.3325.162,,2018-03-15 08:31:45,2018-03-15 08:31:45,"0,035s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:45,2018-03-15 08:31:46,"0,114s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:46,2018-03-15 08:31:46,"0,092s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:46,2018-03-15 08:31:46,"0,063s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 65.0.3325.162,,2018-03-15 08:31:46,2018-03-15 08:32:04,"18,237s",FAILED
waitForElementPresent,Chrome 65.0.3325.162,,2018-03-15 08:31:46,2018-03-15 08:31:51,"4,830s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:51,2018-03-15 08:31:51,"0,375s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:51,2018-03-15 08:31:53,"1,583s",PASSED
waitForElementPresent,Chrome 65.0.3325.162,,2018-03-15 08:31:53,2018-03-15 08:31:57,"4,018s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,324s",PASSED
waitForElementPresent,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,018s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,089s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,084s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,061s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,208s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:57,"0,075s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:57,2018-03-15 08:31:58,"0,103s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,068s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,068s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,111s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,072s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,070s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,071s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,062s",PASSED
setText,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,108s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,046s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,083s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:31:58,"0,045s",PASSED
waitForElementVisible,Chrome 65.0.3325.162,,2018-03-15 08:31:58,2018-03-15 08:32:04,"5,183s",PASSED
click,Chrome 65.0.3325.162,,2018-03-15 08:32:04,2018-03-15 08:32:04,"0,361s",FAILED
