Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-21 08:15:50,2018-02-21 08:16:40,"49,727s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-21 08:15:50,2018-02-21 08:15:57,"6,694s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-21 08:15:51,2018-02-21 08:15:55,"4,801s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-21 08:15:55,2018-02-21 08:15:57,"1,388s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:15:57,"0,038s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:15:57,"0,097s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:15:57,"0,104s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:15:57,"0,089s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:16:39,"42,121s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:15:57,"0,030s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 08:15:57,2018-02-21 08:16:02,"5,149s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 08:16:02,2018-02-21 08:16:03,"0,313s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 08:16:03,2018-02-21 08:16:08,"5,323s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-21 08:16:08,2018-02-21 08:16:08,"0,187s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-21 08:16:08,2018-02-21 08:16:08,"0,017s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 08:16:08,2018-02-21 08:16:08,"0,080s",PASSED
click,Chrome 63.0.3239.132,,2018-02-21 08:16:08,2018-02-21 08:16:39,"30,887s",FAILED
