Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new Role,Chrome 63.0.3239.132,,2018-02-06 14:47:50,2018-02-06 14:48:05,"14,158s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-06 14:47:51,2018-02-06 14:47:59,"8,244s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-06 14:47:51,2018-02-06 14:47:57,"6,359s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-06 14:47:57,2018-02-06 14:47:59,"1,389s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:47:59,"0,037s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:47:59,"0,095s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:47:59,"0,095s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:47:59,"0,090s",PASSED
,,,,,,
Test Cases/Create_Role,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:48:04,"5,029s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:47:59,"0,031s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:47:59,2018-02-06 14:48:00,"0,526s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:48:00,2018-02-06 14:48:00,"0,073s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:48:00,2018-02-06 14:48:03,"2,985s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:48:03,2018-02-06 14:48:03,"0,090s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:48:03,2018-02-06 14:48:03,"0,610s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 14:48:03,2018-02-06 14:48:04,"0,258s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:48:04,2018-02-06 14:48:04,"0,223s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 14:48:04,2018-02-06 14:48:04,"0,028s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 14:48:04,2018-02-06 14:48:04,"0,077s",PASSED
