Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-20 17:19:44,2018-02-20 17:20:00,"15,694s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-20 17:19:45,2018-02-20 17:19:52,"7,278s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 17:19:45,2018-02-20 17:19:50,"5,232s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-20 17:19:50,2018-02-20 17:19:51,"1,406s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-20 17:19:51,2018-02-20 17:19:52,"0,083s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:52,"0,148s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:52,"0,112s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:52,"0,110s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:59,"7,437s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:52,"0,027s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-20 17:19:52,2018-02-20 17:19:57,"5,322s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:19:57,2018-02-20 17:19:58,"0,304s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:19:58,2018-02-20 17:19:59,"1,663s",FAILED
