Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new Role,Chrome 63.0.3239.132,,2018-02-19 16:56:35,2018-02-19 16:56:47,"12,069s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 16:56:35,2018-02-19 16:56:41,"6,033s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 16:56:35,2018-02-19 16:56:39,"4,109s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 16:56:39,2018-02-19 16:56:40,"1,396s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 16:56:40,2018-02-19 16:56:40,"0,050s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 16:56:40,2018-02-19 16:56:41,"0,113s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:41,"0,095s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:41,"0,103s",PASSED
,,,,,,
Test Cases/Create_Role,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:46,"5,171s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:41,"0,037s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:41,"0,091s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:41,"0,082s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 16:56:41,2018-02-19 16:56:45,"3,565s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:45,2018-02-19 16:56:45,"0,107s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:45,2018-02-19 16:56:45,"0,584s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 16:56:45,2018-02-19 16:56:46,"0,277s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:46,2018-02-19 16:56:46,"0,205s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 16:56:46,2018-02-19 16:56:46,"0,021s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 16:56:46,2018-02-19 16:56:46,"0,081s",PASSED
