Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Example,Chrome 62.0.3202.94,,2017-12-07 08:46:23,2017-12-07 08:46:46,"22,253s",PASSED
,,,,,,
Test Cases/Authorization,Chrome 62.0.3202.94,,2017-12-07 08:46:24,2017-12-07 08:46:30,"6,467s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-07 08:46:24,2017-12-07 08:46:30,"5,730s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:30,"0,086s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:30,"0,181s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:30,"0,137s",PASSED
click,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:30,"0,088s",PASSED
,,,,,,
Test Cases/Create table,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:45,"14,773s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:30,"0,040s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-07 08:46:30,2017-12-07 08:46:36,"6,096s",PASSED
click,Chrome 62.0.3202.94,,2017-12-07 08:46:36,2017-12-07 08:46:37,"0,282s",PASSED
click,Chrome 62.0.3202.94,,2017-12-07 08:46:37,2017-12-07 08:46:38,"1,169s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-07 08:46:38,2017-12-07 08:46:44,"6,627s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-07 08:46:44,2017-12-07 08:46:45,"0,283s",PASSED
click,Chrome 62.0.3202.94,,2017-12-07 08:46:45,2017-12-07 08:46:45,"0,185s",PASSED
