Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-20 17:24:55,2018-02-20 17:25:41,"45,850s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-20 17:24:55,2018-02-20 17:25:01,"6,085s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-20 17:24:56,2018-02-20 17:25:00,"4,170s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-20 17:25:00,2018-02-20 17:25:01,"1,393s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-20 17:25:01,2018-02-20 17:25:01,"0,049s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 17:25:01,2018-02-20 17:25:01,"0,103s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-20 17:25:01,2018-02-20 17:25:01,"0,095s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:25:01,2018-02-20 17:25:01,"0,101s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-20 17:25:01,2018-02-20 17:25:40,"38,839s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-20 17:25:02,2018-02-20 17:25:03,"1,067s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-20 17:25:03,2018-02-20 17:25:08,"5,082s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:25:08,2018-02-20 17:25:08,"0,300s",PASSED
click,Chrome 63.0.3239.132,,2018-02-20 17:25:08,2018-02-20 17:25:40,"32,227s",FAILED
