Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 65.0.3325.146,,2018-03-14 14:40:02,2018-03-14 14:40:23,"21,610s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 65.0.3325.146,,2018-03-14 14:40:02,2018-03-14 14:40:09,"7,495s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-14 14:40:02,2018-03-14 14:40:07,"5,457s",PASSED
maximizeWindow,Chrome 65.0.3325.146,,2018-03-14 14:40:07,2018-03-14 14:40:09,"1,409s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:09,2018-03-14 14:40:09,"0,052s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:09,2018-03-14 14:40:09,"0,183s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:09,2018-03-14 14:40:09,"0,121s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:09,2018-03-14 14:40:09,"0,092s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 65.0.3325.146,,2018-03-14 14:40:09,2018-03-14 14:40:23,"13,227s",FAILED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:10,2018-03-14 14:40:14,"4,826s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:14,2018-03-14 14:40:15,"0,381s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:15,2018-03-14 14:40:16,"1,085s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:16,2018-03-14 14:40:20,"4,622s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:20,2018-03-14 14:40:21,"0,196s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,020s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,090s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,164s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,061s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,213s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,085s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,111s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:21,"0,067s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:21,2018-03-14 14:40:22,"0,072s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,116s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,077s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,073s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,073s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,067s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,102s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,046s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,083s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:22,"0,054s",PASSED
click,Chrome 65.0.3325.146,,2018-03-14 14:40:22,2018-03-14 14:40:23,"0,375s",FAILED
