Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 63.0.3239.132,,2018-02-19 10:54:49,2018-02-19 10:56:20,"1m - 30,607s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 10:54:49,2018-02-19 10:54:56,"6,706s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 10:54:49,2018-02-19 10:54:54,"4,797s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 10:54:54,2018-02-19 10:54:56,"1,401s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:56,"0,036s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:56,"0,096s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:56,"0,100s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:56,"0,109s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:56:19,"1m - 22,997s",FAILED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:56,"0,030s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:54:56,2018-02-19 10:54:58,"2,123s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:54:58,2018-02-19 10:54:58,"0,190s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:54:58,2018-02-19 10:55:02,"3,446s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:55:02,2018-02-19 10:55:07,"5,183s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:55:07,2018-02-19 10:55:07,"0,198s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:55:07,2018-02-19 10:55:48,"40,780s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:55:48,2018-02-19 10:56:19,"30,903s",FAILED
