Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new user,Chrome 63.0.3239.132,,2018-02-19 10:44:39,2018-02-19 10:44:55,"16,298s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 10:44:39,2018-02-19 10:44:47,"7,888s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 10:44:39,2018-02-19 10:44:45,"5,824s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 10:44:45,2018-02-19 10:44:47,"1,418s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:44:47,2018-02-19 10:44:47,"0,039s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:47,2018-02-19 10:44:47,"0,131s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:47,2018-02-19 10:44:47,"0,141s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:44:47,2018-02-19 10:44:47,"0,159s",PASSED
,,,,,,
Test Cases/Create_User,Chrome 63.0.3239.132,Creation new user to test system,2018-02-19 10:44:47,2018-02-19 10:44:55,"7,463s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 10:44:47,2018-02-19 10:44:48,"0,900s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:44:48,2018-02-19 10:44:49,"0,537s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:44:49,2018-02-19 10:44:49,"0,100s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:44:49,2018-02-19 10:44:50,"1,103s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:44:50,2018-02-19 10:44:51,"0,778s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:51,2018-02-19 10:44:52,"0,871s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:52,2018-02-19 10:44:52,"0,378s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:52,2018-02-19 10:44:52,"0,455s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:52,2018-02-19 10:44:53,"0,743s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:53,2018-02-19 10:44:54,"0,457s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:54,2018-02-19 10:44:54,"0,339s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:54,2018-02-19 10:44:54,"0,260s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:44:54,2018-02-19 10:44:54,"0,264s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:44:54,2018-02-19 10:44:55,"0,129s",PASSED
