Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add user role,Chrome 63.0.3239.132,,2018-02-19 10:50:02,2018-02-19 10:50:13,"11,276s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 10:50:02,2018-02-19 10:50:09,"6,242s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 10:50:03,2018-02-19 10:50:07,"4,351s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 10:50:07,2018-02-19 10:50:08,"1,392s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:50:08,2018-02-19 10:50:08,"0,033s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:50:08,2018-02-19 10:50:08,"0,097s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:50:08,2018-02-19 10:50:09,"0,112s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:09,"0,091s",PASSED
,,,,,,
Test Cases/Add_User_Role,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:13,"4,077s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:09,"0,024s",PASSED
waitForPageLoad,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:09,"0,093s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:09,"0,024s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:09,"0,111s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:50:09,2018-02-19 10:50:11,"1,894s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:11,"0,147s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:11,"0,071s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:11,"0,159s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:11,"0,078s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:11,"0,053s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:50:11,2018-02-19 10:50:12,"0,601s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:12,2018-02-19 10:50:12,"0,087s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:50:12,2018-02-19 10:50:13,"0,477s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:13,2018-02-19 10:50:13,"0,074s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:50:13,2018-02-19 10:50:13,"0,099s",PASSED
