Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Example,Chrome 62.0.3202.94,,2017-12-06 10:22:59,2017-12-06 10:23:13,"13,388s",PASSED
,,,,,,
Test Cases/Authorization,Chrome 62.0.3202.94,,2017-12-06 10:22:59,2017-12-06 10:23:05,"5,786s",PASSED
openBrowser,Chrome 62.0.3202.94,,2017-12-06 10:23:00,2017-12-06 10:23:05,"5,098s",PASSED
waitForElementPresent,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:05,"0,083s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:05,"0,121s",PASSED
setText,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:05,"0,147s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:05,"0,085s",PASSED
,,,,,,
Test Cases/Create folder,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:12,"6,676s",PASSED
navigateToUrl,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:05,"0,123s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 10:23:05,2017-12-06 10:23:11,"5,358s",PASSED
click,Chrome 62.0.3202.94,,2017-12-06 10:23:11,2017-12-06 10:23:12,"1,087s",PASSED
