Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add user role,Chrome 63.0.3239.132,,2018-02-09 09:47:09,2018-02-09 09:47:18,"9,388s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-09 09:47:09,2018-02-09 09:47:15,"6,051s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-09 09:47:09,2018-02-09 09:47:13,"4,153s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-09 09:47:13,2018-02-09 09:47:15,"1,407s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,037s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,096s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,098s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,085s",PASSED
,,,,,,
Test Cases/Add_User_Role,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:18,"2,517s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,053s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,081s",PASSED
click,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:15,"0,070s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-09 09:47:15,2018-02-09 09:47:18,"2,219s",PASSED
