Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new Role,Chrome 63.0.3239.132,,2018-02-19 10:49:12,2018-02-19 10:49:23,"11,234s",PASSED
,,,,,,
Test Cases/Authorization_Admin,Chrome 63.0.3239.132,,2018-02-19 10:49:12,2018-02-19 10:49:19,"6,714s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-19 10:49:12,2018-02-19 10:49:17,"4,729s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-19 10:49:17,2018-02-19 10:49:18,"1,445s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:49:18,2018-02-19 10:49:19,"0,038s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,135s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,095s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,097s",PASSED
,,,,,,
Test Cases/Create_Role,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:22,"3,630s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,059s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,040s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:19,"0,110s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:49:19,2018-02-19 10:49:21,"1,974s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:21,2018-02-19 10:49:21,"0,077s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:21,2018-02-19 10:49:22,"0,591s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-19 10:49:22,2018-02-19 10:49:22,"0,336s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:22,2018-02-19 10:49:22,"0,206s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-19 10:49:22,2018-02-19 10:49:22,"0,024s",PASSED
click,Chrome 63.0.3239.132,,2018-02-19 10:49:22,2018-02-19 10:49:22,"0,085s",PASSED
