Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create table,Chrome 65.0.3325.146,,2018-03-12 12:54:28,2018-03-12 12:55:18,"49,989s",FAILED
,,,,,,
Test Cases/Authorization_Admin,Chrome 65.0.3325.146,,2018-03-12 12:54:28,2018-03-12 12:54:35,"7,132s",PASSED
openBrowser,Chrome 65.0.3325.146,,2018-03-12 12:54:28,2018-03-12 12:54:33,"5,060s",PASSED
maximizeWindow,Chrome 65.0.3325.146,,2018-03-12 12:54:33,2018-03-12 12:54:35,"1,396s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:54:35,"0,069s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:54:35,"0,164s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:54:35,"0,138s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:54:35,"0,089s",PASSED
,,,,,,
Test Cases/Create_Table,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:55:17,"41,914s",FAILED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-12 12:54:35,2018-03-12 12:54:37,"1,531s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:37,2018-03-12 12:54:37,"0,274s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:37,2018-03-12 12:54:40,"2,991s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-12 12:54:40,2018-03-12 12:54:45,"4,564s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,208s",PASSED
waitForElementPresent,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,018s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,076s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,100s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,059s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,311s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:45,"0,097s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:45,2018-03-12 12:54:46,"0,117s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:54:46,"0,075s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:54:46,"0,065s",PASSED
setText,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:54:46,"0,121s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:54:46,"0,074s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:54:46,"0,086s",PASSED
click,Chrome 65.0.3325.146,,2018-03-12 12:54:46,2018-03-12 12:55:17,"30,946s",FAILED
