Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create new user,Chrome 63.0.3239.132,,2018-02-06 11:37:36,2018-02-06 11:37:48,"11,709s",PASSED
,,,,,,
Test Cases/Authorization,Chrome 63.0.3239.132,,2018-02-06 11:37:36,2018-02-06 11:37:43,"6,515s",PASSED
openBrowser,Chrome 63.0.3239.132,,2018-02-06 11:37:36,2018-02-06 11:37:41,"4,628s",PASSED
maximizeWindow,Chrome 63.0.3239.132,,2018-02-06 11:37:41,2018-02-06 11:37:42,"1,381s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 11:37:42,2018-02-06 11:37:42,"0,036s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:37:42,2018-02-06 11:37:42,"0,096s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:37:42,2018-02-06 11:37:43,"0,102s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:37:43,2018-02-06 11:37:43,"0,093s",PASSED
,,,,,,
Test Cases/Create user,Chrome 63.0.3239.132,Creation new user to test system,2018-02-06 11:37:43,2018-02-06 11:37:47,"4,290s",PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-02-06 11:37:43,2018-02-06 11:37:43,"0,025s",PASSED
waitForElementPresent,Chrome 63.0.3239.132,,2018-02-06 11:37:43,2018-02-06 11:37:43,"0,571s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:37:43,2018-02-06 11:37:43,"0,070s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:37:43,2018-02-06 11:37:45,"1,299s",PASSED
click,Chrome 63.0.3239.132,,2018-02-06 11:37:45,2018-02-06 11:37:45,"0,520s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:37:45,2018-02-06 11:37:46,"0,954s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:37:46,2018-02-06 11:37:47,"0,315s",PASSED
setText,Chrome 63.0.3239.132,,2018-02-06 11:37:47,2018-02-06 11:37:47,"0,426s",PASSED
